"from","to","driver_mechanism","relationship","LINK_FUNCTION","refresh_date","source"
"CCDC6 LoF","CCDC6","LoF","inhibits",-1,"04 April 2023","Intogen"
"CCND1 GoF","CCND1","GoF","activates",1,"04 April 2023","Intogen"
"CCND2 GoF","CCND2","GoF","activates",1,"04 April 2023","Intogen"
"CCND3 GoF","CCND3","GoF","activates",1,"04 April 2023","Intogen"
"CCR7 LoF","CCR7","LoF","inhibits",-1,"04 April 2023","Intogen"
"CD58 LoF","CD58","LoF","inhibits",-1,"04 April 2023","Intogen"
"CD79B GoF","CD79B","GoF","activates",1,"04 April 2023","Intogen"
"CDC73 LoF","CDC73","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDH1 LoF","CDH1","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDH10 GoF","CDH10","GoF","activates",1,"04 April 2023","Intogen"
"CDK12 LoF","CDK12","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDK4 GoF","CDK4","GoF","activates",1,"04 April 2023","Intogen"
"CDKN1A LoF","CDKN1A","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDKN1B LoF","CDKN1B","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDKN2A LoF","CDKN2A","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDKN2C LoF","CDKN2C","LoF","inhibits",-1,"04 April 2023","Intogen"
"CDX2 GoF","CDX2","GoF","activates",1,"04 April 2023","Intogen"
"CHD2 LoF","CHD2","LoF","inhibits",-1,"04 April 2023","Intogen"
"CHD4 GoF","CHD4","GoF","activates",1,"04 April 2023","Intogen"
"CHEK2 LoF","CHEK2","LoF","inhibits",-1,"04 April 2023","Intogen"
"CIC LoF","CIC","LoF","inhibits",-1,"04 April 2023","Intogen"
"CIITA GoF","CIITA","GoF","activates",1,"04 April 2023","Intogen"
"CLIP1 LoF","CLIP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"CLTC GoF","CLTC","GoF","activates",1,"04 April 2023","Intogen"
"CLTCL1 GoF","CLTCL1","GoF","activates",1,"04 April 2023","Intogen"
"CMTR2 LoF","CMTR2","LoF","inhibits",-1,"04 April 2023","Intogen"
"CNOT3 GoF","CNOT3","GoF","activates",1,"04 April 2023","Intogen"
"COL1A1 GoF","COL1A1","GoF","activates",1,"04 April 2023","Intogen"
"CPEB3 GoF","CPEB3","GoF","activates",1,"04 April 2023","Intogen"
"CREBBP LoF","CREBBP","LoF","inhibits",-1,"04 April 2023","Intogen"
"CRNKL1 GoF","CRNKL1","GoF","activates",1,"04 April 2023","Intogen"
"CSF3R GoF","CSF3R","GoF","activates",1,"04 April 2023","Intogen"
"CTCF LoF","CTCF","LoF","inhibits",-1,"04 April 2023","Intogen"
"CTNNB1 GoF","CTNNB1","GoF","activates",1,"04 April 2023","Intogen"
"CUL3 LoF","CUL3","LoF","inhibits",-1,"04 April 2023","Intogen"
"CXCR4 GoF","CXCR4","GoF","activates",1,"04 April 2023","Intogen"
"CYLD LoF","CYLD","LoF","inhibits",-1,"04 April 2023","Intogen"
"CYP2C8 LoF","CYP2C8","LoF","inhibits",-1,"04 April 2023","Intogen"
"CYSLTR2 GoF","CYSLTR2","GoF","activates",1,"04 April 2023","Intogen"
"DAXX LoF","DAXX","LoF","inhibits",-1,"04 April 2023","Intogen"
"DAZAP1 LoF","DAZAP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"DCAF12L2 GoF","DCAF12L2","GoF","activates",1,"04 April 2023","Intogen"
"DCC LoF","DCC","LoF","inhibits",-1,"04 April 2023","Intogen"
"DCSTAMP GoF","DCSTAMP","GoF","activates",1,"04 April 2023","Intogen"
"DDB2 LoF","DDB2","LoF","inhibits",-1,"04 April 2023","Intogen"
"DDX3X LoF","DDX3X","LoF","inhibits",-1,"04 April 2023","Intogen"
"DGCR8 LoF","DGCR8","LoF","inhibits",-1,"04 April 2023","Intogen"
"DHX9 GoF","DHX9","GoF","activates",1,"04 April 2023","Intogen"
"DICER1 LoF","DICER1","LoF","inhibits",-1,"04 April 2023","Intogen"
"DIS3 LoF","DIS3","LoF","inhibits",-1,"04 April 2023","Intogen"
"DNAJB1 LoF","DNAJB1","LoF","inhibits",-1,"04 April 2023","Intogen"
"DNMT3A LoF","DNMT3A","LoF","inhibits",-1,"04 April 2023","Intogen"
"DOT1L LoF","DOT1L","LoF","inhibits",-1,"04 April 2023","Intogen"
"DROSHA LoF","DROSHA","LoF","inhibits",-1,"04 April 2023","Intogen"
"DUSP16 LoF","DUSP16","LoF","inhibits",-1,"04 April 2023","Intogen"
"EGFR GoF","EGFR","GoF","activates",1,"04 April 2023","Intogen"
"EIF1AX LoF","EIF1AX","LoF","inhibits",-1,"04 April 2023","Intogen"
"EIF3E GoF","EIF3E","GoF","activates",1,"04 April 2023","Intogen"
"ELF3 LoF","ELF3","LoF","inhibits",-1,"04 April 2023","Intogen"
"ELF4 GoF","ELF4","GoF","activates",1,"04 April 2023","Intogen"
"EP300 LoF","EP300","LoF","inhibits",-1,"04 April 2023","Intogen"
"EPAS1 GoF","EPAS1","GoF","activates",1,"04 April 2023","Intogen"
"EPHA2 LoF","EPHA2","LoF","inhibits",-1,"04 April 2023","Intogen"
"EPS15 GoF","EPS15","GoF","activates",1,"04 April 2023","Intogen"
"ERBB2 GoF","ERBB2","GoF","activates",1,"04 April 2023","Intogen"
"ERBB3 GoF","ERBB3","GoF","activates",1,"04 April 2023","Intogen"
"ERBB4 LoF","ERBB4","LoF","inhibits",-1,"04 April 2023","Intogen"
"ERCC2 LoF","ERCC2","LoF","inhibits",-1,"04 April 2023","Intogen"
"ERCC3 LoF","ERCC3","LoF","inhibits",-1,"04 April 2023","Intogen"
"ERG GoF","ERG","GoF","activates",1,"04 April 2023","Intogen"
"ESR1 GoF","ESR1","GoF","activates",1,"04 April 2023","Intogen"
"ESRRA GoF","ESRRA","GoF","activates",1,"04 April 2023","Intogen"
"ETV4 LoF","ETV4","LoF","inhibits",-1,"04 April 2023","Intogen"
"ETV5 GoF","ETV5","GoF","activates",1,"04 April 2023","Intogen"
"ETV6 GoF","ETV6","GoF","activates",1,"04 April 2023","Intogen"
"EWSR1 GoF","EWSR1","GoF","activates",1,"04 April 2023","Intogen"
"EXT2 LoF","EXT2","LoF","inhibits",-1,"04 April 2023","Intogen"
"EZH2 LoF","EZH2","LoF","inhibits",-1,"04 April 2023","Intogen"
"FAM135B GoF","FAM135B","GoF","activates",1,"04 April 2023","Intogen"
"FAM46C LoF","FAM46C","LoF","inhibits",-1,"04 April 2023","Intogen"
"FANCA LoF","FANCA","LoF","inhibits",-1,"04 April 2023","Intogen"
"FANCC LoF","FANCC","LoF","inhibits",-1,"04 April 2023","Intogen"
"FANCD2 LoF","FANCD2","LoF","inhibits",-1,"04 April 2023","Intogen"
"FANCF LoF","FANCF","LoF","inhibits",-1,"04 April 2023","Intogen"
"FAS LoF","FAS","LoF","inhibits",-1,"04 April 2023","Intogen"
"FAT1 LoF","FAT1","LoF","inhibits",-1,"04 April 2023","Intogen"
"FAT2 GoF","FAT2","GoF","activates",1,"04 April 2023","Intogen"
"FAT4 LoF","FAT4","LoF","inhibits",-1,"04 April 2023","Intogen"
"FBLN1 GoF","FBLN1","GoF","activates",1,"04 April 2023","Intogen"
"FBXO11 LoF","FBXO11","LoF","inhibits",-1,"04 April 2023","Intogen"
"FBXW7 LoF","FBXW7","LoF","inhibits",-1,"04 April 2023","Intogen"
"FGD5 GoF","FGD5","GoF","activates",1,"04 April 2023","Intogen"
"FGFR1 GoF","FGFR1","GoF","activates",1,"04 April 2023","Intogen"
"FGFR2 GoF","FGFR2","GoF","activates",1,"04 April 2023","Intogen"
"FGFR3 GoF","FGFR3","GoF","activates",1,"04 April 2023","Intogen"
"FGFR4 GoF","FGFR4","GoF","activates",1,"04 April 2023","Intogen"
"FH LoF","FH","LoF","inhibits",-1,"04 April 2023","Intogen"
"FLCN LoF","FLCN","LoF","inhibits",-1,"04 April 2023","Intogen"
"FLT3 GoF","FLT3","GoF","activates",1,"04 April 2023","Intogen"
"FN1 LoF","FN1","LoF","inhibits",-1,"04 April 2023","Intogen"
"FOXA1 LoF","FOXA1","LoF","inhibits",-1,"04 April 2023","Intogen"
"FOXA2 LoF","FOXA2","LoF","inhibits",-1,"04 April 2023","Intogen"
"FOXD4L1 LoF","FOXD4L1","LoF","inhibits",-1,"04 April 2023","Intogen"
"FOXL2 GoF","FOXL2","GoF","activates",1,"04 April 2023","Intogen"
"FOXO1 GoF","FOXO1","GoF","activates",1,"04 April 2023","Intogen"
"FOXP1 GoF","FOXP1","GoF","activates",1,"04 April 2023","Intogen"
"FUBP1 LoF","FUBP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"GATA1 GoF","GATA1","GoF","activates",1,"04 April 2023","Intogen"
"GATA2 GoF","GATA2","GoF","activates",1,"04 April 2023","Intogen"
"GATA3 LoF","GATA3","LoF","inhibits",-1,"04 April 2023","Intogen"
"GLI1 GoF","GLI1","GoF","activates",1,"04 April 2023","Intogen"
"GMPS LoF","GMPS","LoF","inhibits",-1,"04 April 2023","Intogen"
"GNA11 GoF","GNA11","GoF","activates",1,"04 April 2023","Intogen"
"GNA13 LoF","GNA13","LoF","inhibits",-1,"04 April 2023","Intogen"
"GNAQ GoF","GNAQ","GoF","activates",1,"04 April 2023","Intogen"
"GNAS GoF","GNAS","GoF","activates",1,"04 April 2023","Intogen"
"GRIN2A GoF","GRIN2A","GoF","activates",1,"04 April 2023","Intogen"
"GTF2I GoF","GTF2I","GoF","activates",1,"04 April 2023","Intogen"
"H3F3A GoF","H3F3A","GoF","activates",1,"04 April 2023","Intogen"
"HGF GoF","HGF","GoF","activates",1,"04 April 2023","Intogen"
"HIP1 GoF","HIP1","GoF","activates",1,"04 April 2023","Intogen"
"HIST1H3B GoF","HIST1H3B","GoF","activates",1,"04 April 2023","Intogen"
"HIST1H4I GoF","HIST1H4I","GoF","activates",1,"04 April 2023","Intogen"
"HNF1A LoF","HNF1A","LoF","inhibits",-1,"04 April 2023","Intogen"
"HNRNPA2B1 GoF","HNRNPA2B1","GoF","activates",1,"04 April 2023","Intogen"
"HOXC13 GoF","HOXC13","GoF","activates",1,"04 April 2023","Intogen"
"HOXD13 LoF","HOXD13","LoF","inhibits",-1,"04 April 2023","Intogen"
"HRAS GoF","HRAS","GoF","activates",1,"04 April 2023","Intogen"
"HSP90AA1 GoF","HSP90AA1","GoF","activates",1,"04 April 2023","Intogen"
"HSP90AB1 GoF","HSP90AB1","GoF","activates",1,"04 April 2023","Intogen"
"HTRA2 LoF","HTRA2","LoF","inhibits",-1,"04 April 2023","Intogen"
"ID3 LoF","ID3","LoF","inhibits",-1,"04 April 2023","Intogen"
"IDH1 GoF","IDH1","GoF","activates",1,"04 April 2023","Intogen"
"IDH2 GoF","IDH2","GoF","activates",1,"04 April 2023","Intogen"
"IFNAR1 LoF","IFNAR1","LoF","inhibits",-1,"04 April 2023","Intogen"
"IFNGR1 LoF","IFNGR1","LoF","inhibits",-1,"04 April 2023","Intogen"
"IL6ST GoF","IL6ST","GoF","activates",1,"04 April 2023","Intogen"
"IL7R GoF","IL7R","GoF","activates",1,"04 April 2023","Intogen"
"ING1 LoF","ING1","LoF","inhibits",-1,"04 April 2023","Intogen"
"IRAK1 LoF","IRAK1","LoF","inhibits",-1,"04 April 2023","Intogen"
"IRF1 LoF","IRF1","LoF","inhibits",-1,"04 April 2023","Intogen"
"IRS4 LoF","IRS4","LoF","inhibits",-1,"04 April 2023","Intogen"
"JAK3 GoF","JAK3","GoF","activates",1,"04 April 2023","Intogen"
"KAT6B GoF","KAT6B","GoF","activates",1,"04 April 2023","Intogen"
"KDM5A GoF","KDM5A","GoF","activates",1,"04 April 2023","Intogen"
"KDM5C LoF","KDM5C","LoF","inhibits",-1,"04 April 2023","Intogen"
"KDM6A LoF","KDM6A","LoF","inhibits",-1,"04 April 2023","Intogen"
"KDR GoF","KDR","GoF","activates",1,"04 April 2023","Intogen"
"KEAP1 GoF","KEAP1","GoF","activates",1,"04 April 2023","Intogen"
"KEL GoF","KEL","GoF","activates",1,"04 April 2023","Intogen"
"KIF5B GoF","KIF5B","GoF","activates",1,"04 April 2023","Intogen"
"KIFC1 GoF","KIFC1","GoF","activates",1,"04 April 2023","Intogen"
"KIT GoF","KIT","GoF","activates",1,"04 April 2023","Intogen"
"KLF4 GoF","KLF4","GoF","activates",1,"04 April 2023","Intogen"
"KLHL6 LoF","KLHL6","LoF","inhibits",-1,"04 April 2023","Intogen"
"KMT2A LoF","KMT2A","LoF","inhibits",-1,"04 April 2023","Intogen"
"KMT2B LoF","KMT2B","LoF","inhibits",-1,"04 April 2023","Intogen"
"KMT2C LoF","KMT2C","LoF","inhibits",-1,"04 April 2023","Intogen"
"KMT2D LoF","KMT2D","LoF","inhibits",-1,"04 April 2023","Intogen"
"KRAS GoF","KRAS","GoF","activates",1,"04 April 2023","Intogen"
"LATS1 LoF","LATS1","LoF","inhibits",-1,"04 April 2023","Intogen"
"LATS2 LoF","LATS2","LoF","inhibits",-1,"04 April 2023","Intogen"
"LDB1 GoF","LDB1","GoF","activates",1,"04 April 2023","Intogen"
"LIFR GoF","LIFR","GoF","activates",1,"04 April 2023","Intogen"
"LOX LoF","LOX","LoF","inhibits",-1,"04 April 2023","Intogen"
"LPAR4 LoF","LPAR4","LoF","inhibits",-1,"04 April 2023","Intogen"
"LPP GoF","LPP","GoF","activates",1,"04 April 2023","Intogen"
"LRP1B LoF","LRP1B","LoF","inhibits",-1,"04 April 2023","Intogen"
"LTB GoF","LTB","GoF","activates",1,"04 April 2023","Intogen"
"LY75-CD302 GoF","LY75-CD302","GoF","activates",1,"04 April 2023","Intogen"
"LZTR1 LoF","LZTR1","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAF LoF","MAF","LoF","inhibits",-1,"04 April 2023","Intogen"
"MALT1 LoF","MALT1","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAML2 LoF","MAML2","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAP2K1 GoF","MAP2K1","GoF","activates",1,"04 April 2023","Intogen"
"MAP2K4 LoF","MAP2K4","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAP2K7 LoF","MAP2K7","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAP3K1 LoF","MAP3K1","LoF","inhibits",-1,"04 April 2023","Intogen"
"MAPK1 GoF","MAPK1","GoF","activates",1,"04 April 2023","Intogen"
"MAX GoF","MAX","GoF","activates",1,"04 April 2023","Intogen"
"MB21D2 LoF","MB21D2","LoF","inhibits",-1,"04 April 2023","Intogen"
"MDM2 GoF","MDM2","GoF","activates",1,"04 April 2023","Intogen"
"MDM4 GoF","MDM4","GoF","activates",1,"04 April 2023","Intogen"
"MECOM GoF","MECOM","GoF","activates",1,"04 April 2023","Intogen"
"MED12 GoF","MED12","GoF","activates",1,"04 April 2023","Intogen"
"MEF2B LoF","MEF2B","LoF","inhibits",-1,"04 April 2023","Intogen"
"MEN1 LoF","MEN1","LoF","inhibits",-1,"04 April 2023","Intogen"
"MET GoF","MET","GoF","activates",1,"04 April 2023","Intogen"
"MGA LoF","MGA","LoF","inhibits",-1,"04 April 2023","Intogen"
"MLLT1 GoF","MLLT1","GoF","activates",1,"04 April 2023","Intogen"
"MLLT3 GoF","MLLT3","GoF","activates",1,"04 April 2023","Intogen"
"MTCP1 GoF","MTCP1","GoF","activates",1,"04 April 2023","Intogen"
"MTOR GoF","MTOR","GoF","activates",1,"04 April 2023","Intogen"
"MYC GoF","MYC","GoF","activates",1,"04 April 2023","Intogen"
"MYCN GoF","MYCN","GoF","activates",1,"04 April 2023","Intogen"
"MYD88 GoF","MYD88","GoF","activates",1,"04 April 2023","Intogen"
"MYH11 GoF","MYH11","GoF","activates",1,"04 April 2023","Intogen"
"MYH9 GoF","MYH9","GoF","activates",1,"04 April 2023","Intogen"
"NCOA2 GoF","NCOA2","GoF","activates",1,"04 April 2023","Intogen"
"NCOR1 LoF","NCOR1","LoF","inhibits",-1,"04 April 2023","Intogen"
"NCOR2 GoF","NCOR2","GoF","activates",1,"04 April 2023","Intogen"
"NF1 LoF","NF1","LoF","inhibits",-1,"04 April 2023","Intogen"
"NF2 LoF","NF2","LoF","inhibits",-1,"04 April 2023","Intogen"
"NFE2L2 GoF","NFE2L2","GoF","activates",1,"04 April 2023","Intogen"
"NFKBIA LoF","NFKBIA","LoF","inhibits",-1,"04 April 2023","Intogen"
"NIN LoF","NIN","LoF","inhibits",-1,"04 April 2023","Intogen"
"NIPBL LoF","NIPBL","LoF","inhibits",-1,"04 April 2023","Intogen"
"NKTR GoF","NKTR","GoF","activates",1,"04 April 2023","Intogen"
"NONO LoF","NONO","LoF","inhibits",-1,"04 April 2023","Intogen"
"NPEPPS LoF","NPEPPS","LoF","inhibits",-1,"04 April 2023","Intogen"
"NPRL2 LoF","NPRL2","LoF","inhibits",-1,"04 April 2023","Intogen"
"NRAS GoF","NRAS","GoF","activates",1,"04 April 2023","Intogen"
"NRG1 GoF","NRG1","GoF","activates",1,"04 April 2023","Intogen"
"NRK GoF","NRK","GoF","activates",1,"04 April 2023","Intogen"
"NRP1 LoF","NRP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"NSD1 GoF","NSD1","GoF","activates",1,"04 April 2023","Intogen"
"NT5C3A LoF","NT5C3A","LoF","inhibits",-1,"04 April 2023","Intogen"
"NTRK1 GoF","NTRK1","GoF","activates",1,"04 April 2023","Intogen"
"NTRK3 GoF","NTRK3","GoF","activates",1,"04 April 2023","Intogen"
"NUMA1 GoF","NUMA1","GoF","activates",1,"04 April 2023","Intogen"
"NUP214 GoF","NUP214","GoF","activates",1,"04 April 2023","Intogen"
"NXF1 GoF","NXF1","GoF","activates",1,"04 April 2023","Intogen"
"P2RY8 GoF","P2RY8","GoF","activates",1,"04 April 2023","Intogen"
"PAK2 GoF","PAK2","GoF","activates",1,"04 April 2023","Intogen"
"PBRM1 LoF","PBRM1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PCBP1 GoF","PCBP1","GoF","activates",1,"04 April 2023","Intogen"
"PCDH17 LoF","PCDH17","LoF","inhibits",-1,"04 April 2023","Intogen"
"PCMTD1 LoF","PCMTD1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PDCD1LG2 GoF","PDCD1LG2","GoF","activates",1,"04 April 2023","Intogen"
"PDE4DIP GoF","PDE4DIP","GoF","activates",1,"04 April 2023","Intogen"
"PDGFRA GoF","PDGFRA","GoF","activates",1,"04 April 2023","Intogen"
"PDGFRB GoF","PDGFRB","GoF","activates",1,"04 April 2023","Intogen"
"PEG3 GoF","PEG3","GoF","activates",1,"04 April 2023","Intogen"
"PHF6 LoF","PHF6","LoF","inhibits",-1,"04 April 2023","Intogen"
"PIK3CA GoF","PIK3CA","GoF","activates",1,"04 April 2023","Intogen"
"PIK3CB GoF","PIK3CB","GoF","activates",1,"04 April 2023","Intogen"
"PIK3R1 LoF","PIK3R1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PIM1 LoF","PIM1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PLAG1 GoF","PLAG1","GoF","activates",1,"04 April 2023","Intogen"
"PLCB4 GoF","PLCB4","GoF","activates",1,"04 April 2023","Intogen"
"PLCG1 GoF","PLCG1","GoF","activates",1,"04 April 2023","Intogen"
"PML LoF","PML","LoF","inhibits",-1,"04 April 2023","Intogen"
"PMS2 LoF","PMS2","LoF","inhibits",-1,"04 April 2023","Intogen"
"POLD1 GoF","POLD1","GoF","activates",1,"04 April 2023","Intogen"
"PPM1D LoF","PPM1D","LoF","inhibits",-1,"04 April 2023","Intogen"
"PPP2R1A GoF","PPP2R1A","GoF","activates",1,"04 April 2023","Intogen"
"PPP3CA LoF","PPP3CA","LoF","inhibits",-1,"04 April 2023","Intogen"
"PPP6C LoF","PPP6C","LoF","inhibits",-1,"04 April 2023","Intogen"
"PPT2 GoF","PPT2","GoF","activates",1,"04 April 2023","Intogen"
"PRDM1 LoF","PRDM1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PREX2 GoF","PREX2","GoF","activates",1,"04 April 2023","Intogen"
"PRF1 LoF","PRF1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PRKAR1A LoF","PRKAR1A","LoF","inhibits",-1,"04 April 2023","Intogen"
"PRKCB GoF","PRKCB","GoF","activates",1,"04 April 2023","Intogen"
"PRKCD LoF","PRKCD","LoF","inhibits",-1,"04 April 2023","Intogen"
"PRR14 LoF","PRR14","LoF","inhibits",-1,"04 April 2023","Intogen"
"PRRX1 GoF","PRRX1","GoF","activates",1,"04 April 2023","Intogen"
"PSIP1 GoF","PSIP1","GoF","activates",1,"04 April 2023","Intogen"
"PTCH1 LoF","PTCH1","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTEN LoF","PTEN","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTMA LoF","PTMA","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTPN11 GoF","PTPN11","GoF","activates",1,"04 April 2023","Intogen"
"PTPN13 LoF","PTPN13","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTPN14 LoF","PTPN14","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTPN6 LoF","PTPN6","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTPRC GoF","PTPRC","GoF","activates",1,"04 April 2023","Intogen"
"PTPRD GoF","PTPRD","GoF","activates",1,"04 April 2023","Intogen"
"PTPRK LoF","PTPRK","LoF","inhibits",-1,"04 April 2023","Intogen"
"PTPRT LoF","PTPRT","LoF","inhibits",-1,"04 April 2023","Intogen"
"QKI LoF","QKI","LoF","inhibits",-1,"04 April 2023","Intogen"
"RABEP1 LoF","RABEP1","LoF","inhibits",-1,"04 April 2023","Intogen"
"RAC1 GoF","RAC1","GoF","activates",1,"04 April 2023","Intogen"
"RAD21 LoF","RAD21","LoF","inhibits",-1,"04 April 2023","Intogen"
"RAF1 GoF","RAF1","GoF","activates",1,"04 April 2023","Intogen"
"RALGDS GoF","RALGDS","GoF","activates",1,"04 April 2023","Intogen"
"RANBP2 LoF","RANBP2","LoF","inhibits",-1,"04 April 2023","Intogen"
"RAP1GDS1 GoF","RAP1GDS1","GoF","activates",1,"04 April 2023","Intogen"
"RARA GoF","RARA","GoF","activates",1,"04 April 2023","Intogen"
"RASA1 LoF","RASA1","LoF","inhibits",-1,"04 April 2023","Intogen"
"RASA2 LoF","RASA2","LoF","inhibits",-1,"04 April 2023","Intogen"
"RB1 LoF","RB1","LoF","inhibits",-1,"04 April 2023","Intogen"
"RBFOX1 GoF","RBFOX1","GoF","activates",1,"04 April 2023","Intogen"
"RBFOX2 GoF","RBFOX2","GoF","activates",1,"04 April 2023","Intogen"
"RBM10 LoF","RBM10","LoF","inhibits",-1,"04 April 2023","Intogen"
