"drug_chembl_id","target_uniprot_id","action_type","parent_action_type","disease_efficacy","LINK_FUNCTION","source","refresh_date"
"CHEMBL3219124","P35557","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","Q9Y210","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL113","Q15413","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL279107","Q14643","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL258405","Q8R4D5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1179605","Q9HCF6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL384903","Q12791","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL439496","P15390","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1863513","Q02156","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1201202","P01008","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL1863513","P05129","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL454313","P15390","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2172394","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","O94759","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL686","P51787","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1709719","Q92952","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL17962","Q9ULX7","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL190461","Q9Y5S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL17962","P35218","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL375448","A8MYU2","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL103","Q8NEC5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL103","Q96P56","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL333985","Q02108","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL333985","Q02153","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL439496","Q9UQD0","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL744","Q9UL62","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1256101","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL8145","Q9UL62","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL267476","Q14721","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL103","Q7RTX7","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL384903","A8MYU2","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL353759","Q02108","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL353759","Q02153","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL90","P35218","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1418045","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL169233","Q9BX84","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","P70605","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL3185043","Q8R4D5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL44","Q9UL62","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL485259","Q8R4D5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL258405","Q8BLA8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL272485","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL72442","O88703","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL521083","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15768","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL406931","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1608558","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL93655","Q13936","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1979562","Q14524","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL157885","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL490470","Q9EPK8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","O95279","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","Q9EPK8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1085100","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1085101","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL367149","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1949980","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1709719","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","Q92952","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2409106","P48549","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1863513","P17252","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1200471","P56696","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL76903","O35433","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1514181","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2441929","Q8R455","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL33232","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL453730","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL453730","Q9H2S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL470670","Q7Z2W7","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL1080997","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL44618","O95069","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL499968","Q92952","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL486208","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL90","P00915","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","Q9NPC2","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL1256","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL181","P97794","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1256","Q96T55","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1256","O54912","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL545","P48545","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL284906","P97794","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1159","Q61743","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL314854","P48545","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL258405","Q8R455","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL104647","O35433","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL499968","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1514181","Q12791","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL402589","Q8BLA8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL169233","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1159","P70673","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1082832","P22002","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL41355","Q9NR82","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL118987","Q9EPK8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL395336","Q16281","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL4588394","P56696","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL485259","Q8R455","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL367149","P57789","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL290106","Q9Z258","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL113","P21817","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","Q9UGI6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","P70604","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL495","Q8NEC5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL63323","P51801","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL63323","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1880057","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL499968","O15554","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL63323","Q6UVM3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL495","Q96P56","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","Q9NYG8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1514181","Q9H252","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1255","Q8BLA8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL8659","O14939","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1689654","O43526","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1201134","P51788","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL13883","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL4588394","Q9NR82","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","O95069","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL177991","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL931","O14649","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1085946","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL439496","Q15858","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1480","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15594","P48548","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL294199","Q8NER1","Activator","POSITIVE MODULATOR",TRUE,1,"IUPHAR","04 April 2023"
"CHEMBL279107","Q14573","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL402978","Q8BLA8","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL43185","Q8NER1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1339229","Q8TDD5","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL266510","O43526","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1818218","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL255044","O43526","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1908355","P48050","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL499968","Q9H2S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL439496","Q62968","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL498672","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1082832","P27732","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL313971","Q8NER1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL897","Q9WUD2","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL29411","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2107729","Q02108","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2107729","Q02153","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL193","Q9HCF6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1628622","P37088","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1628622","P51168","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1628622","P51170","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL181","P70673","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1385229","Q8K424","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL395336","O88703","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL395336","Q00195","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL384759","P97794","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL284906","Q14654","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1256759","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL190461","Q9WUD2","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL375448","Q12791","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL14249","P97794","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL448741","Q9HCF6","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL15768","Q8NER1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL317935","O43526","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1082832","Q9JIS7","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL58343","Q9UHC3","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1372588","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1086445","Q6RI86","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL53","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL282274","Q9Y210","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL721","O75762","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL55267","Q9R244","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL398412","Q12809","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","O15554","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL333985","P33402","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL333985","Q02153","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1417584","P57789","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL452887","Q9H2S1","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL113","Q92736","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL2010601","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL1703636","P56696","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
"CHEMBL375448","P13569","Activator","POSITIVE MODULATOR",FALSE,1,"IUPHAR","04 April 2023"
